detected 1719 touch events 09:30-12:00 ET

     time     level       appr def        px |   wall     l3    gap iceN  iceCF |     cvd  cvd60  tBuy tSell |    up+    dn-    net
 09:31:29       PDH from_above bid  30545.25 |     14     14      0    0      0 |    -847   -360     1    10 |   40.5 -154.25 -49.25
 09:32:03       PDH from_above bid  30544.50 |     11     11      0    0      0 |   -1197   -515     0    14 |  41.25 -153.5  -31.0
 09:32:03       PDH from_above bid  30544.25 |     11     11      0    0      0 |   -1197   -515     0    14 |   41.5 -153.25 -30.75
 09:32:03       PDH from_above bid  30545.25 |     11     11      0    0      0 |   -1205   -523     0    16 |   40.5 -154.25 -31.75
 09:32:03       PDH from_above bid  30545.00 |     11     11      0    0      0 |   -1276   -594     0    22 |  40.75 -154.0  -31.5
 09:33:57       PDH from_above bid  30545.00 |     27     26      1    0      0 |   -1650   -318     0     8 |   16.5 -154.0 -23.25
 09:33:58       PDH from_below ask  30544.25 |     13     10      3    0      0 |   -1662   -328    21    37 |  17.25 -153.25 -19.75
 09:33:58       PDH from_below ask  30544.50 |     13     10      3    0      0 |   -1662   -328    21    37 |   17.0 -153.5  -20.0
 09:33:58       PDH from_below ask  30545.25 |      6      5      1    0      0 |   -1663   -330    22    37 |  16.25 -154.25 -21.25
 09:34:05       PDH from_above bid  30544.75 |     18     18      0    0      0 |   -1627   -355    35    81 |   3.75 -153.75 -31.75
 09:34:05       PDH from_above bid  30544.75 |     18     18      0    0      0 |   -1627   -355    35    81 |   3.75 -153.75 -31.75
 09:34:05       PDH from_above bid  30545.00 |     18     18      0    0      0 |   -1627   -355    35    81 |    3.5 -154.0  -32.0
 09:34:06       PDH from_above bid  30545.25 |     23     21      2    0      0 |   -1629   -352    35    84 |   1.75 -154.25 -32.25
 09:34:06       PDH from_above bid  30545.00 |     15     14      1    0      0 |   -1637   -355    35    88 |    1.0 -154.0  -32.0
 09:34:08       PDH from_below ask  30544.50 |     18     17      1    0      0 |   -1681   -414    54   110 |    1.5 -153.5  -29.0
 09:34:11       PDH from_below ask  30544.25 |     13     12      1    0      0 |   -1670   -388    85   130 |   0.25 -153.25  -28.5
 09:34:23    LVN_dn from_above bid  30527.75 |     67     46     21    0      0 |   -1754   -485     0    20 |  12.75 -136.75  -22.5
 09:34:24    LVN_dn from_above bid  30527.75 |     42     39      3    0      0 |   -1757   -488     0    26 |  12.75 -136.75  -24.5
 09:34:24    LVN_dn from_above bid  30527.75 |     46     42      4    0      0 |   -1764   -495     4    38 |  12.75 -136.75  -26.0
 09:34:24    LVN_dn from_below ask  30527.00 |     17     16      1    0      0 |   -1822   -553    19    79 |   13.5 -136.0  -27.5
 09:34:26    LVN_dn from_below ask  30527.50 |     12     11      1    0      0 |   -1836   -581    25    86 |   13.0 -136.5  -33.5
 09:34:27       VAH from_above bid  30522.50 |     15     14      1    0      0 |   -1846   -573     0    10 |   18.0 -131.5  -29.5
 09:34:28       VAH from_above bid  30522.50 |     13      9      4    0      0 |   -1867   -504    10    38 |   18.0 -131.5  -32.0
