detected 1719 touch events 09:30-12:00 ET

     time     level       appr def        px |   wall     l3    gap iceN  iceCF |     cvd  cvd60  tBuy tSell |    up+    dn-    net
 09:50:12     onVAH from_above bid  30478.75 |      0      0      0    0      0 |   -2374    390    46    22 | 112.75 -75.75   80.5
 09:50:12     onVAH from_above bid  30478.50 |      0      0      0    0      0 |   -2374    390    46    22 |  113.0  -75.5  80.75
 09:50:12     onVAH from_below ask  30478.75 |     18     18      0    0      0 |   -2373    391    47    26 | 112.75 -75.75   80.5
 09:50:12     onVAH from_above bid  30479.25 |      0      0      0    0      0 |   -2445    319    47    37 | 112.25 -76.25   80.0
 09:50:12     onVAH from_below ask  30479.00 |     18     18      0    0      0 |   -2456    308    47    39 |  112.5  -76.0  80.25
 09:50:15     onVAH from_below ask  30478.75 |      7      8      0    0      0 |   -2482    266    15    21 | 112.75 -75.75   67.0
 09:50:18     onVAH from_below ask  30478.50 |     12     11      1    0      0 |   -2543    156    15    24 |  113.0  -75.5  68.25
 09:50:29     onVAH from_below ask  30479.25 |      0      0      0    0      0 |   -2539    154    50    31 | 112.25 -76.25  66.25
 09:50:29     onVAH from_below ask  30478.50 |      0      0      0    0      0 |   -2539    154    50    31 |  113.0  -75.5   67.0
 09:50:41     EM+1s from_below ask  30508.50 |     11     13      0    0      0 |   -2407    161     4     0 |   83.0 -105.5   36.5
 09:50:43     EM+1s from_below ask  30508.25 |     15     15      0    0      0 |   -2393    177     6     0 |  83.25 -105.25  38.75
 09:50:43     EM+1s from_below ask  30508.50 |      9      9      0    0      0 |   -2408    153    10     1 |   83.0 -105.5   38.5
 09:50:50     EM+1s from_below ask  30508.25 |     14     10      4    0      0 |   -2436     58    26     4 |  83.25 -105.25  34.25
 09:51:11     EM+1s from_below ask  30508.25 |     15     15      0    0      0 |   -2407    -25    39    17 |  83.25 -105.25   44.5
 09:51:13     EM+1s from_below ask  30509.00 |      4      4      0    0      0 |   -2353    124    48    26 |   82.5 -106.0   40.0
 09:51:14     EM+1s from_below ask  30508.25 |      9      9      0    0      0 |   -2353    124    52    35 |  83.25 -105.25   41.5
 09:51:15     EM+1s from_above bid  30508.75 |     13     13      0    0      0 |   -2327    155    63    37 |  82.75 -105.75   41.0
 09:51:16     EM+1s from_above bid  30509.00 |     12     11      1    0      0 |   -2331    162    71    45 |   82.5 -106.0  39.75
 09:51:41     onVAH from_above bid  30479.50 |     21     10     11    0      0 |   -2445    -30     0    13 |  112.0  -76.5   78.0
 09:51:41     onVAH from_above bid  30478.50 |      1      0      1    0      0 |   -2457    -39     1    25 |  113.0  -75.5  77.25
 09:51:49     onVAH from_above bid  30478.75 |      3      2      1    0      0 |   -2431    -28     2    27 | 112.75 -75.75   76.5
 09:51:50     onVAH from_below ask  30478.50 |     28     28      0    0      0 |   -2440     21    11    31 |  113.0  -75.5   76.5
 09:51:50     onVAH from_below ask  30479.25 |     10      9      1    0      0 |   -2453     12    12    31 | 112.25 -76.25   76.5
 09:51:52     onVAH from_above bid  30479.25 |     18     18      0    0      0 |   -2448    -15    18    33 | 112.25 -76.25  75.75
 09:51:59     EM+1s from_below ask  30508.25 |      7      7      0    0      0 |   -2335    103     1     0 |  83.25 -105.25   51.5
 09:51:59     EM+1s from_below ask  30508.25 |     11     10      1    0      0 |   -2318    120    17     3 |  83.25 -105.25   51.5
 09:51:59     EM+1s from_above bid  30508.50 |      0      0      0    0      0 |   -2306    132    18     3 |   83.0 -105.5  51.25
 09:52:01     EM+1s from_below ask  30509.00 |      3      3      0    0      0 |   -2314    128    27     8 |   82.5 -106.0  48.75
 09:52:01     EM+1s from_above bid  30509.00 |     12     12      0    0      0 |   -2310    120    27     9 |   82.5 -106.0  46.25
 09:52:11     EM+1s from_above bid  30508.75 |      0      0      0    0      0 |   -2287     87    30    26 |  82.75 -105.75   55.0
 09:52:11     EM+1s from_above bid  30508.50 |      0      0      0    0      0 |   -2287     87    30    26 |   83.0 -105.5  55.25
 09:52:11     EM+1s from_below ask  30509.00 |      6      5      1    0      0 |   -2284     87    31    26 |   82.5 -106.0   56.0
 09:52:25     EM+1s from_above bid  30508.50 |      9      8      1    0      0 |   -2356    105    41    37 |   83.0 -105.5   39.0
 09:52:25     EM+1s from_above bid  30508.50 |      9      4      5    0      0 |   -2349    112    50    41 |   83.0 -105.5  39.25
 09:52:46       VAH from_below ask  30521.50 |     18     17      1    0      0 |   -2305    145     6     0 |   70.0 -118.5  31.75
 09:52:47    LVN_dn from_below ask  30527.00 |      8      6      2    0      0 |   -2262    183     4     0 |   64.5 -124.0   19.5
 09:52:49       VAH from_above bid  30522.25 |      6     10      0    0      0 |   -2266    177    25    12 |  69.25 -119.25  26.25
 09:52:50       VAH from_below ask  30521.75 |      8      8      0    0      0 |   -2270    183    27    20 |  69.75 -118.75  27.75
 09:52:51       VAH from_above bid  30522.00 |      6      5      1    0      0 |   -2271    174    41    37 |   69.5 -119.0   27.5
 09:52:52    LVN_dn from_below ask  30526.75 |     18     14      4    0      0 |   -2266    164    13     0 |  64.75 -123.75  26.25
 09:52:54       VAH from_above bid  30521.75 |      2      4      0    0      0 |   -2283     99    43    41 |  69.75 -118.75   32.5
 09:52:59       VAH from_below ask  30521.75 |     11     11      0    0      0 |   -2324     13    57    51 |  69.75 -118.75   32.5
 09:53:00       VAH from_below ask  30521.75 |     11     10      1    0      0 |   -2323     -9    63    52 |  69.75 -118.75  36.25
 09:53:02       VAH from_above bid  30522.50 |     17     17      0    0      0 |   -2316    -25    74    60 |   69.0 -119.5  33.25
 09:53:22       VAH from_below ask  30522.25 |      5      5      0    0      0 |   -2338      7    47    39 |  69.25 -119.25  27.75
 09:53:23       VAH from_below ask  30522.25 |     12      8      4    0      0 |   -2321     24    59    45 |  69.25 -119.25   27.5
 09:53:23       VAH from_below ask  30521.50 |     12      8      4    0      0 |   -2321     24    59    45 |   70.0 -118.5  28.25
 09:53:23       VAH from_below ask  30522.50 |     12      8      4    0      0 |   -2321     24    59    45 |   69.0 -119.5  27.25
 09:53:24       VAH from_below ask  30522.25 |      6      5      1    0      0 |   -2325     20    60    44 |  69.25 -119.25  25.75
 09:53:24       VAH from_above bid  30521.50 |      6      5      1    0      0 |   -2323     21    62    43 |   70.0 -118.5   26.5
 09:53:24       VAH from_below ask  30522.25 |      5      5      0    0      0 |   -2330     16    57    45 |  69.25 -119.25  27.75
 09:53:28       VAH from_below ask  30521.75 |      9      8      1    0      0 |   -2347     44    58    51 |  69.75 -118.75  35.75
 09:53:30       VAH from_below ask  30522.50 |      1      1      0    0      0 |   -2341     50    53    52 |   69.0 -119.5  34.25
 09:53:32       VAH from_above bid  30522.25 |      3      4      0    0      0 |   -2334     50    44    45 |  69.25 -119.25   37.5
 09:53:35    LVN_dn from_below ask  30527.00 |     39     40      0    0      0 |   -2331      1     3     0 |   64.5 -124.0  33.25
 09:53:50    LVN_dn from_above bid  30527.75 |     26     25      1    0      0 |   -2214     49    34    18 |  63.75 -124.75  20.25
 09:53:54    LVN_dn from_above bid  30527.75 |      9      8      1    0      0 |   -2229     50    39    44 |  63.75 -124.75   19.0
 09:53:55       VAH from_above bid  30522.50 |     10     10      0    0      0 |   -2238     49    15    21 |   69.0 -119.5  22.75
 09:53:56    LVN_dn from_below ask  30527.25 |     21     11     10    0      0 |   -2215    101    46    47 |  64.25 -124.25   13.5
 09:53:56    LVN_dn from_below ask  30527.00 |     21     21      0    0      0 |   -2194    122    52    48 |   64.5 -124.0  13.75
 09:53:56    LVN_dn from_below ask  30527.50 |     21     21      0    0      0 |   -2213    103    52    50 |   64.0 -124.5  13.25
 09:53:56    LVN_dn from_below ask  30526.75 |     22     14      8    0      0 |   -2194    121    66    50 |  64.75 -123.75   14.0
 09:53:57       VAH from_above bid  30522.25 |      6      7      0    0      0 |   -2201    136    14    23 |  69.25 -119.25   16.0
 09:54:00       VAH from_above bid  30522.50 |     15     15      0    0      0 |   -2206    112     7    21 |   69.0 -119.5   12.5
 09:54:00       VAH from_above bid  30522.50 |     11     12      0    0      0 |   -2206    112     7    23 |   69.0 -119.5  12.75
 09:54:01       VAH from_above bid  30522.50 |     16     15      1    0      0 |   -2195    123    20    30 |   69.0 -119.5   13.5
 09:54:01       VAH from_above bid  30522.00 |     21     21      0    0      0 |   -2181    137    35    38 |   69.5 -119.0   13.0
 09:54:01       VAH from_above bid  30522.00 |     21     21      0    0      0 |   -2198    120    35    41 |   69.5 -119.0   13.0
 09:54:01    LVN_dn from_below ask  30526.75 |      9      9      0    0      0 |   -2196    122    67    50 |  64.75 -123.75   8.25
 09:54:01       VAH from_above bid  30522.25 |      6      7      0    0      0 |   -2199    119    35    42 |  69.25 -119.25  12.75
 09:54:02       VAH from_above bid  30522.25 |      9      9      0    0      0 |   -2195    123    37    44 |  69.25 -119.25  12.75
 09:54:02       VAH from_above bid  30522.50 |     14     15      0    0      0 |   -2209    107    40    53 |   69.0 -119.5    8.5
 09:54:02       VAH from_below ask  30522.50 |      2      1      1    0      0 |   -2218     95    46    64 |   69.0 -119.5    9.0
 09:54:14     EM+1s from_above bid  30508.75 |     13     12      1    0      0 |   -2311     37     0     5 |  82.75 -105.75   29.5
 09:54:14     EM+1s from_above bid  30509.00 |     18     14      4    0      0 |   -2312     36     1    11 |   82.5 -106.0  29.25
 09:54:15     EM+1s from_above bid  30508.25 |      0      0      0    0      0 |   -2317     31     2    24 |  83.25 -105.25   30.0
 09:54:16     EM+1s from_below ask  30508.25 |      9     11      0    0      0 |   -2317     33    10    26 |  83.25 -105.25   24.5
 09:54:34     onVAH from_above bid  30478.50 |      4      4      0    0      0 |   -2404    -70     3     0 |  113.0  -75.5  26.75
 09:54:34     onVAH from_below ask  30478.50 |     11     11      0    0      0 |   -2426    -92     6    17 |  113.0  -75.5  26.75
 09:54:34     onVAH from_below ask  30478.75 |      9      9      0    0      0 |   -2451   -117     8    21 | 112.75 -75.75   26.5
 09:54:34     onVAH from_below ask  30478.50 |      9      9      0    0      0 |   -2451   -117     8    21 |  113.0  -75.5  26.75
 09:54:34     onVAH from_below ask  30478.50 |     11      9      2    0      0 |   -2470   -136     8    23 |  113.0  -75.5  26.75
 09:54:35     onVAH from_below ask  30479.50 |      5      5      0    0      0 |   -2481   -143    13    24 |  112.0  -76.5  24.75
 09:54:36     onVAH from_below ask  30478.50 |     26     25      1    0      0 |   -2504   -251    21    29 |  113.0  -75.5   27.5
 09:54:39     onVAH from_below ask  30478.75 |     16     17      0    0      0 |   -2509   -289    27    30 | 112.75 -75.75  38.75
 09:54:39     onVAH from_below ask  30478.50 |     21     20      1    0      0 |   -2509   -290    30    31 |  113.0  -75.5   37.0
 09:54:39     onVAH from_above bid  30479.50 |     15     17      0    0      0 |   -2508   -289    32    38 |  112.0  -76.5   35.5
 09:55:11     onVAH from_below ask  30479.50 |      0      0      0    0      0 |   -2570   -291     3     0 |  112.0  -76.5  41.75
 09:55:12     onVAH from_below ask  30478.50 |     19     18      1    0      0 |   -2587   -306     8     3 |  113.0  -75.5   43.5
 09:55:12     onVAH from_below ask  30478.75 |     15      3     12    0      0 |   -2578   -297    20     6 | 112.75 -75.75  43.25
 09:55:12     onVAH from_below ask  30479.25 |     15     15      0    0      0 |   -2558   -277    34    14 | 112.25 -76.25  42.75
 09:55:12     onVAH from_below ask  30479.00 |     15     15      0    0      0 |   -2558   -277    34    14 |  112.5  -76.0   43.0
 09:55:12     onVAH from_below ask  30479.00 |     15     15      0    0      0 |   -2558   -277    34    14 |  112.5  -76.0   43.0
 09:55:14     onVAH from_below ask  30478.50 |     14     13      1    0      0 |   -2585   -284    39    28 |  113.0  -75.5   36.0
 09:55:18     onVAH from_above bid  30478.75 |      2      2      0    0      0 |   -2575   -229    44    33 | 112.75 -75.75   33.5
 09:55:18     onVAH from_below ask  30479.25 |     15     16      0    0      0 |   -2578   -217    49    36 | 112.25 -76.25  33.75
 09:55:19     onVAH from_below ask  30478.50 |     15     21      0    0      0 |   -2570   -209    58    38 |  113.0  -75.5   33.5
 09:55:21     onVAH from_above bid  30479.00 |      6      6      0    0      0 |   -2564   -199    58    42 |  112.5  -76.0  31.25
 09:55:32       POC from_above bid  30450.50 |     30     30      0    0      0 |   -2707   -296     1    11 |  141.0  -47.5   53.5
 09:55:32       POC from_above bid  30450.25 |     30     30      0    0      0 |   -2707   -296     1    11 | 141.25 -47.25  53.75
 09:55:33       POC from_above bid  30450.50 |     21     22      0    0      0 |   -2716   -310     1    14 |  141.0  -47.5  59.75
 09:55:34       POC from_above bid  30450.25 |     20     26      0    0      0 |   -2718   -313     1    19 | 141.25 -47.25  62.75
 09:55:40       POC from_below ask  30450.25 |      6      5      1    0      0 |   -2788   -274     6    46 | 141.25 -47.25   57.0
 09:55:45       POC from_below ask  30450.00 |      9      8      1    0      0 |   -2779   -218    15    57 |  141.5  -47.0  55.75
 09:55:45       POC from_above bid  30450.00 |     11     14      0    0      0 |   -2768   -199    27    58 |  141.5  -47.0  55.75
 09:55:45       POC from_above bid  30449.75 |      6      5      1    0      0 |   -2761   -166    28    59 | 141.75 -46.75   55.0
 09:55:56       POC from_below ask  30450.25 |      3      3      0    0      0 |   -2751   -159    37    66 | 141.25 -47.25  67.75
 09:56:42       POC from_above bid  30450.00 |      3      6      0    0      0 |   -2796    -13     0     6 |  141.5  -47.0  115.0
 09:56:43       POC from_above bid  30450.50 |     13     14      0    0      0 |   -2798    -15     5     9 |  141.0  -47.5  114.5
 09:56:43       POC from_below ask  30449.75 |      4      2      2    0      0 |   -2811    -28     5    21 | 141.75 -46.75 115.25
 09:56:49       POC from_below ask  30449.75 |     13     12      1    0      0 |   -2831    -59    20    22 | 141.75 -46.75 116.25
 09:56:49       POC from_below ask  30449.50 |     13     12      1    0      0 |   -2831    -59    20    22 |  142.0  -46.5  116.5
 09:56:55       POC from_below ask  30449.50 |      1      1      0    0      0 |   -2829    -74    23    22 |  142.0  -46.5 124.25
 09:56:56       POC from_above bid  30449.50 |      5      6      0    0      0 |   -2802    -49    24    24 |  142.0  -46.5 125.75
 09:57:00       POC from_below ask  30449.50 |      9      8      1    0      0 |   -2800   -123    30    25 |  142.0  -46.5  120.5
 09:57:02       POC from_below ask  30449.75 |      0      0      0    0      0 |   -2790   -113    34    25 | 141.75 -46.75  121.0
 09:57:02       POC from_above bid  30449.50 |     15     15      0    0      0 |   -2790   -113    34    25 |  142.0  -46.5 121.25
 09:57:02       POC from_below ask  30450.25 |      0      0      0    0      0 |   -2786   -109    42    27 | 141.25 -47.25  120.5
 09:57:02       POC from_below ask  30450.00 |      0      0      0    0      0 |   -2786   -109    42    27 |  141.5  -47.0 120.75
 09:57:02       POC from_above bid  30449.50 |     15     15      0    0      0 |   -2788   -111    42    29 |  142.0  -46.5 121.25
 09:57:02       POC from_above bid  30450.50 |      7      9      0    0      0 |   -2798   -121    42    30 |  141.0  -47.5 119.75
 09:57:04       POC from_above bid  30450.00 |      1      1      0    0      0 |   -2801   -133    43    35 |  141.5  -47.0  126.0
 09:58:37   HP/DDup from_above bid  30404.00 |      8      2      6    0      0 |   -3327   -341     0     6 |  202.0   -1.0  200.0
 09:59:36       POC from_below ask  30449.75 |     27     27      0    0      0 |   -3049    254     6     0 | 163.75  -14.5 158.25
 09:59:36       POC from_below ask  30449.50 |     27     27      0    0      0 |   -3049    254     6     0 |  164.0 -14.25  158.5
 09:59:36       POC from_below ask  30450.00 |     13     12      1    0      0 |   -3047    256     9     0 |  163.5 -14.75  158.0
 09:59:37       POC from_above bid  30449.50 |      5      5      0    0      0 |   -3034    268    20     4 |  164.0 -14.25  158.5
 09:59:48       POC from_below ask  30449.50 |     15     15      0    0      0 |   -2996    190    39    13 |  164.0   -2.5 159.75
 10:00:02     onVAH from_below ask  30478.75 |     15     12      3    0      0 |   -2833    372     3     0 | 134.75 -29.25  119.0
 10:00:03     onVAH from_above bid  30479.25 |      8      8      0    0      0 |   -2806    397    11     4 | 134.25 -29.75  118.0
 10:00:04     onVAH from_below ask  30478.50 |      5      5      0    0      0 |   -2807    380    16    11 |  135.0  -29.0 124.25
 10:00:08     onVAH from_above bid  30479.50 |     12     12      0    0      0 |   -2840    359    23    17 |  134.0  -30.0 124.25
 10:00:09     onVAH from_above bid  30479.25 |      7      6      1    0      0 |   -2824    389    27    21 | 134.25 -29.75  124.5
 10:00:14     onVAH from_above bid  30479.50 |      7      7      0    0      0 |   -2744    504    30    28 |  134.0  -30.0  113.5
 10:00:15     onVAH from_above bid  30478.50 |      2      1      1    0      0 |   -2753    497    31    33 |  135.0  -29.0  116.5
 10:00:15     onVAH from_below ask  30479.00 |     10      9      1    0      0 |   -2754    491    32    34 |  134.5  -29.5  116.0
 10:00:18     onVAH from_above bid  30479.50 |     29     21      8    0      0 |   -2775    487    36    47 |  134.0  -30.0 120.25
 10:00:37       POC from_above bid  30450.50 |     24     24      0    0      0 |   -3006     26     0     1 |  163.0   -1.0 138.75
 10:00:40       POC from_above bid  30450.00 |     19     18      1    0      0 |   -3028     25     2    25 |  163.5   -0.5  132.0
 10:00:48     onVAH from_below ask  30478.50 |     14     14      0    0      0 |   -3007    -11     7     9 |  135.0   -5.5 102.75
 10:00:50     onVAH from_below ask  30479.25 |      6      6      0    0      0 |   -3012    -53    22    10 | 134.25   -3.5  99.75
 10:00:53     onVAH from_above bid  30479.50 |      5      5      0    0      0 |   -3018    -57    23     4 |  134.0  -3.75   98.0
 10:00:54     onVAH from_above bid  30479.50 |      8      8      0    0      0 |   -2963    -13    32    14 |  134.0  -3.75  99.25
 10:00:54     onVAH from_below ask  30478.75 |      0      0      0    0      0 |   -2990    -40    32    16 | 134.75   -3.0  100.0
 10:00:54     onVAH from_below ask  30478.50 |      0      0      0    0      0 |   -3065   -115    32    18 |  135.0   -2.5 100.25
 10:00:54     onVAH from_above bid  30479.00 |      8      8      0    0      0 |   -3083   -132    32    21 |  134.5   -3.0  99.75
 10:00:55     onVAH from_above bid  30479.50 |     14     14      0    0      0 |   -3083   -130    32    22 |  134.0   -3.0  99.25
 10:00:55     onVAH from_below ask  30478.50 |     11     11      0    0      0 |   -3086   -150    40    35 |  135.0   -1.5  101.5
 10:01:00     onVAH from_above bid  30479.50 |     14      8      6    0      0 |   -3087   -196    44    49 |  134.0   -2.5  98.25
 10:01:00     onVAH from_above bid  30479.00 |      9      8      1    0      0 |   -3086   -218    45    51 |  134.5   -2.0  98.75
 10:01:01     onVAH from_below ask  30479.00 |      8      8      0    0      0 |   -3098   -244    50    66 |  134.5   -1.5  98.75
 10:01:58     onVAH from_above bid  30478.75 |     11     11      0    0      0 |   -3182    -93     1    16 | 134.75    0.0 108.25
 10:01:58     onVAH from_above bid  30479.00 |     11     11      0    0      0 |   -3182    -93     1    16 |  134.5  -0.25  108.0
 10:02:23     EM+1s from_below ask  30508.25 |     21     15      6    0      0 |   -3091    -85     6     0 | 105.25 -18.25   82.5
 10:02:24     EM+1s from_below ask  30508.25 |     16     15      1    0      0 |   -3101    -95    10     0 | 105.25 -18.25   82.5
 10:02:42     EM+1s from_below ask  30508.25 |      9      9      0    0      0 |   -3104    -45    22     4 | 105.25  -18.0  75.25
 10:02:43     EM+1s from_below ask  30508.25 |      9      9      0    0      0 |   -3105    -46    24     4 | 105.25  -18.0  75.25
 10:02:44     EM+1s from_above bid  30508.75 |      6      5      1    0      0 |   -3085    -20    30    10 | 104.75  -18.5   73.0
 10:02:45     EM+1s from_above bid  30509.00 |     17     16      1    0      0 |   -3059     43    42    38 |  104.5 -18.75  75.25
 10:02:46     EM+1s from_below ask  30509.00 |     11     11      0    0      0 |   -3053     46    49    40 |  104.5 -18.75   76.5
 10:02:48     EM+1s from_above bid  30508.25 |      6      6      0    0      0 |   -3062     42    53    49 | 105.25  -18.0   84.5
 10:02:49     EM+1s from_below ask  30508.50 |      3      2      1    0      0 |   -3080     43    56    57 |  105.0 -18.25   86.5
 10:02:54     EM+1s from_below ask  30508.50 |     10     10      0    0      0 |   -3098     47    49    58 |  105.0 -18.25   85.0
 10:03:01     EM+1s from_below ask  30508.25 |      9      8      1    0      0 |   -3106     78    44    54 | 105.25  -18.0  83.25
 10:03:04     EM+1s from_below ask  30508.50 |      5      5      0    0      0 |   -3111     49    60    82 |  105.0 -18.25   88.0
 10:03:05     EM+1s from_above bid  30508.75 |     10      9      1    0      0 |   -3106     60    62    85 | 104.75  -18.5   86.5
 10:03:07     EM+1s from_below ask  30508.50 |      8      8      0    0      0 |   -3106     51    71    87 |  105.0 -18.25   85.5
 10:03:09     EM+1s from_below ask  30508.25 |     41     40      1    0      0 |   -3115     47    72    88 | 105.25  -18.0   85.0
 10:03:29     EM+1s from_below ask  30509.00 |      3      3      0    0      0 |   -3197    -58    37    36 |  104.5   -8.5   96.5
 10:03:30     EM+1s from_above bid  30509.00 |     13     13      0    0      0 |   -3193    -39    47    50 |  104.5   -8.5   98.0
 10:03:31     EM+1s from_above bid  30508.50 |      6      6      0    0      0 |   -3191    -53    43    54 |  105.0   -8.0   97.5
 10:03:37       VAH from_below ask  30521.50 |      5      4      1    0      0 |   -3076     45     3     0 |   92.0  -21.0  91.25
 10:03:40       VAH from_below ask  30521.50 |      7      6      1    0      0 |   -3059     51    15     0 |  107.5  -21.0  102.5
 10:03:40    LVN_dn from_below ask  30527.50 |      8      7      1    0      0 |   -3046     64     1     0 |  101.5  -27.0   96.5
 10:03:40    LVN_dn from_below ask  30527.75 |      2      2      0    0      0 |   -3045     65     9     0 | 101.25 -27.25  96.25
 10:03:41    LVN_dn from_below ask  30527.50 |      0      0      0    0      0 |   -3025     88    17     1 |  101.5  -27.0   96.5
 10:03:41    LVN_dn from_below ask  30527.25 |      0      0      0    0      0 |   -3025     88    17     1 | 101.75 -26.75  96.75
 10:03:41    LVN_dn from_above bid  30527.25 |     34     34      0    0      0 |   -3044     69    17     8 | 101.75 -26.75  96.75
 10:03:41    LVN_dn from_above bid  30527.50 |     34     34      0    0      0 |   -3044     69    17     8 |  101.5  -27.0   96.5
 10:03:42    LVN_dn from_above bid  30527.75 |     21     14      7    0      0 |   -3062     46    32    46 | 101.25 -27.25  94.25
 10:03:43    LVN_dn from_below ask  30526.75 |     14     14      0    0      0 |   -3074     32    36    57 | 102.25 -26.25  95.25
 10:03:46       VAH from_above bid  30522.50 |     11      8      3    0      0 |   -3078    -29    18    10 |  106.5  -22.0  96.25
 10:03:46    LVN_dn from_below ask  30527.50 |      9      9      0    0      0 |   -3074    -17    41    57 |  101.5  -27.0   91.0
 10:03:47       VAH from_below ask  30521.50 |     10     10      0    0      0 |   -3071    -14    28    15 |  107.5  -21.0   96.0
 10:03:47       VAH from_below ask  30522.25 |      9      9      0    0      0 |   -3070    -13    29    15 | 106.75 -21.75  95.25
 10:03:47       VAH from_above bid  30522.25 |      7      4      3    0      0 |   -3074    -17    30    22 | 106.75 -21.75  95.25
 10:03:48       VAH from_above bid  30522.50 |     29     26      3    0      0 |   -3077    -20    32    30 |  106.5  -22.0   95.0
 10:03:52       VAH from_below ask  30521.50 |     17     16      1    0      0 |   -3101     -5    36    35 |  107.5  -21.0  95.25
 10:03:53       VAH from_below ask  30521.50 |     19     18      1    0      0 |   -3116    -20    43    42 |  107.5  -21.0  95.25
 10:03:54       VAH from_below ask  30521.75 |     17     16      1    0      0 |   -3121    -22    44    42 | 107.25 -21.25   95.0
 10:04:01     EM+1s from_above bid  30509.00 |     30     22      8    0      0 |   -3201    -91     1    12 | 122.75   -8.5 120.75
 10:04:03     EM+1s from_above bid  30509.00 |     15     12      3    0      0 |   -3205    -95     1    12 | 122.75   -8.5  121.5
 10:04:18     EM+1s from_above bid  30509.00 |     12     11      1    0      0 |   -3184     -2    11    23 |  130.5   -8.5 128.25
 10:04:19     EM+1s from_below ask  30509.00 |     10     10      0    0      0 |   -3187     -5    17    27 |  130.5   -8.5 128.25
 10:04:20     EM+1s from_above bid  30508.75 |      9      9      0    0      0 |   -3195     -7    24    44 | 130.75  -8.25 128.25
 10:04:22     EM+1s from_above bid  30509.00 |      9      9      0    0      0 |   -3188     19    29    55 |  130.5   -8.5  125.5
 10:04:25     EM+1s from_above bid  30508.50 |      4      3      1    0      0 |   -3193     24    33    63 |  131.0   -8.0  126.5
 10:04:28     EM+1s from_above bid  30508.50 |     13     13      0    0      0 |   -3202      9    41    79 | 134.25   -8.0 132.25
 10:04:33     EM+1s from_above bid  30509.00 |      7      6      1    0      0 |   -3201    -30    41    66 |  135.0   -8.5  124.5
 10:04:39       VAH from_below ask  30522.00 |      9      9      0    0      0 |   -3180   -122     8     0 |  122.0  -21.5  103.0
 10:04:40       VAH from_above bid  30522.25 |      1      1      0    0      0 |   -3155   -111    25     7 | 121.75 -21.75  100.5
 10:04:40       VAH from_above bid  30521.75 |      1      1      0    0      0 |   -3155   -111    25     7 | 122.25 -21.25  101.0
 10:04:40       VAH from_above bid  30522.00 |      1      1      0    0      0 |   -3155   -111    25     7 |  122.0  -21.5 100.75
 10:04:43       VAH from_below ask  30521.50 |     14     13      1    0      0 |   -3171   -102    35    22 |  122.5  -21.0 103.75
 10:04:44       VAH from_below ask  30522.00 |     10     10      0    0      0 |   -3172   -103    39    22 |  122.0  -21.5  102.0
 10:04:47       VAH from_below ask  30521.50 |      6      5      1    0      0 |   -3184   -113    39    23 |  122.5  -21.0 102.25
 10:04:48       VAH from_below ask  30521.50 |     13     13      0    0      0 |   -3192   -102    39    27 |  122.5  -21.0 103.75
 10:04:50    LVN_dn from_below ask  30526.75 |     31     22      9    0      0 |   -3143    -40    13     0 | 117.25 -26.25   98.0
 10:04:51    LVN_dn from_below ask  30526.75 |     18     19      0    0      0 |   -3144    -41    14     1 | 117.25 -26.25  97.75
 10:04:52    LVN_dn from_above bid  30527.00 |      6      5      1    0      0 |   -3143    -40    18     7 |  117.0  -26.5   97.5
 10:04:52    LVN_dn from_above bid  30527.75 |     15     15      0    0      0 |   -3144    -44    22     8 | 116.25 -27.25   98.0
 10:04:53    LVN_dn from_above bid  30527.75 |     15     14      1    0      0 |   -3149    -33    22    11 | 116.25 -27.25  101.0
 10:04:53    LVN_dn from_above bid  30527.75 |      8      8      0    0      0 |   -3136    -18    26    11 | 116.25 -27.25   98.0
 10:04:54    LVN_dn from_above bid  30527.50 |     13     13      0    0      0 |   -3120      1    29    13 |  116.5  -27.0   99.0
 10:04:55       VAH from_above bid  30522.50 |     11      6      5    0      0 |   -3142     -4    41    33 |  121.5  -22.0 102.25
 10:05:05       VAH from_below ask  30521.75 |      9      9      0    0      0 |   -3213     -4    44    38 | 122.25 -21.25   96.0
 10:05:07       VAH from_below ask  30521.50 |     16     15      1    0      0 |   -3210    -37    46    38 |  122.5  -21.0   99.5
 10:05:09       VAH from_below ask  30521.50 |     16     15      1    0      0 |   -3213    -48    48    38 |  122.5  -21.0   93.0
 10:05:09       VAH from_above bid  30521.75 |      6      6      0    0      0 |   -3211    -49    53    43 | 122.25 -21.25   92.0
 10:05:10       VAH from_above bid  30522.50 |     16     16      0    0      0 |   -3214    -49    45    50 |  121.5  -22.0  91.75
 10:05:10       VAH from_below ask  30521.75 |     13     12      1    0      0 |   -3216    -51    50    59 | 122.25 -21.25   90.5
 10:05:11    LVN_dn from_below ask  30527.25 |     13     13      0    0      0 |   -3199    -34    32    21 | 116.75 -26.75   85.0
 10:05:12    LVN_dn from_below ask  30526.75 |     23     17      6    0      0 |   -3180    -15    41    21 | 117.25 -26.25   85.5
 10:05:12    LVN_dn from_below ask  30526.75 |      7      8      0    0      0 |   -3180     -5    41    22 | 117.25 -26.25   83.0
 10:05:15    LVN_dn from_below ask  30526.75 |     14     14      0    0      0 |   -3137     26    53    29 | 117.25 -26.25   81.0
 10:05:16       VAH from_above bid  30522.50 |     25     22      3    0      0 |   -3152     14    33    47 |  121.5  -22.0   87.5
